1,0,0,2,17,0,0,0,32,0,0,0,0,1,38,3,1,0,0,5,2,0,0,0,2,0
1,0,0,0,44,0,0,0,2,0,0,1,0,0,37,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,52,0,0,0,3,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,33,0,0,0,5,2,0,0,0,0,43,1,0,1,0,2,0,0,0,1,1,0
0,0,0,0,21,0,0,0,18,2,0,0,1,0,45,1,0,1,0,5,0,0,0,0,0,0
0,0,0,6,0,0,0,0,58,0,0,0,0,0,19,0,0,0,0,24,0,0,1,1,2,0
0,0,0,7,0,0,0,0,60,0,0,0,0,0,13,0,0,1,0,30,1,0,0,0,0,0
0,0,0,5,0,0,1,0,59,0,0,0,0,0,33,1,0,0,0,7,0,0,0,0,0,0
0,0,0,0,23,0,0,0,11,0,0,0,0,1,55,1,0,0,0,1,0,0,0,0,0,0
0,0,0,9,0,0,0,0,50,0,0,0,0,0,23,1,0,1,1,26,0,0,0,0,0,0
0,0,1,11,0,0,0,0,37,0,1,0,0,2,15,0,0,1,3,39,1,0,0,2,9,0
0,0,0,10,0,0,0,0,31,0,0,0,0,2,13,1,0,2,8,42,3,0,0,1,14,0
0,0,0,4,0,0,0,0,23,0,0,0,0,0,15,0,0,2,4,58,0,0,0,3,15,0
0,0,0,4,0,0,0,0,15,0,2,0,0,0,21,0,0,1,0,53,2,0,0,5,26,0
0,0,0,7,0,0,0,0,32,0,1,0,1,1,8,1,0,1,0,46,2,0,0,3,27,0
15,16,4,2,5,0,6,2,3,14,42,20,11,3,6,25,20,7,5,1,48,0,6,3,1,0
14,6,3,2,8,0,7,1,3,10,28,31,11,1,12,43,18,7,5,1,53,0,9,2,2,0
12,6,3,3,8,0,7,2,1,12,34,21,9,2,12,39,19,4,5,2,42,0,13,2,2,0
14,7,3,2,8,0,4,3,3,9,20,21,8,1,11,22,14,1,6,1,40,0,10,2,4,0
16,14,1,2,6,0,10,1,2,12,39,21,18,4,6,43,20,2,3,5,49,0,9,4,4,0
13,14,2,1,9,0,5,1,1,9,29,28,14,0,7,35,18,3,8,4,32,0,6,1,3,0
19,8,3,2,5,0,9,1,1,12,30,23,9,2,10,37,15,2,4,0,45,0,7,2,1,0
17,8,4,3,10,0,4,2,2,10,28,27,6,6,9,28,24,5,12,2,46,0,6,1,1,0
16,7,4,7,6,0,5,3,3,9,51,21,10,0,5,41,20,7,10,2,47,0,11,3,1,0
12,9,2,5,6,0,6,4,4,11,43,17,12,2,11,34,21,5,7,2,53,0,12,3,1,0
21,7,6,2,10,0,5,4,2,11,24,23,8,4,10,26,22,1,4,2,51,0,8,6,2,0
