1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
5,10,2,5,3,3,0,2,0,3,0,2,1,1,1,0,4,0,8,0,5,11,3,6,1,6,20,2,0,6,25,6,2,5,1
4,7,6,8,6,9,1,8,1,5,1,3,2,2,1,0,5,1,8,0,5,4,2,1,0,2,11,2,0,4,17,7,7,0,1
3,5,3,2,4,3,0,1,1,3,0,0,1,0,3,0,1,0,9,0,4,11,1,11,0,16,34,0,0,6,29,6,2,2,1
1,6,2,3,1,0,0,1,0,2,1,1,0,1,1,0,1,0,5,0,5,21,2,13,1,7,35,3,0,8,22,4,6,0,1
7,12,22,19,12,10,0,8,0,23,5,7,7,4,6,0,5,0,8,0,2,7,1,3,4,2,5,0,0,3,8,1,4,2,1
7,13,10,14,9,12,0,6,0,10,3,2,4,2,2,0,5,0,5,0,2,5,5,0,0,2,3,0,0,1,7,3,9,3,1
10,18,16,16,9,10,1,9,0,6,0,8,5,4,2,0,4,0,10,0,3,2,4,2,1,0,6,1,0,3,7,4,2,3,1
2,2,2,3,4,3,0,4,0,2,3,1,2,2,4,0,6,0,12,0,6,22,1,9,0,11,21,0,0,0,3,0,1,0,0
2,2,2,1,1,1,0,2,0,3,4,1,1,3,3,0,0,0,1,0,0,1,0,3,0,5,12,0,0,0,8,0,3,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,23,1,16,12,0
1,1,3,4,1,2,0,1,0,2,1,2,1,1,1,0,0,0,2,0,1,1,0,2,0,2,13,0,0,0,20,2,13,10,0
1,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,14,0,8,5,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,3,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,6,0,0,1,45,0,10,19,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,48,0,21,16,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,17,17,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,4,32,2,11,16,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1,1,2,21,1,0,3,45,3,7,10,0
0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,4,0,6,28,2,0,1,40,4,8,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,0,3,0,4,39,1,0,0,32,1,5,5,0
1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,5,0,5,42,0,0,0,30,1,4,4,0
2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,8,0,7,29,0,0,1,40,2,5,10,0
17,31,25,42,20,19,1,13,2,17,3,9,2,3,1,0,3,1,9,2,3,2,3,0,0,1,1,0,1,4,2,1,0,1,0
16,37,43,28,31,17,1,12,2,9,6,8,0,4,2,0,4,0,9,1,3,1,0,1,0,1,1,4,1,1,3,0,0,1,0
15,27,39,34,21,17,2,10,2,14,7,4,1,4,0,0,5,0,5,2,3,1,2,0,0,2,1,2,1,3,1,2,1,0,0
17,23,22,20,21,14,0,14,0,9,1,9,2,0,3,0,4,1,3,1,2,1,3,2,2,2,0,2,0,3,3,0,0,0,0
17,32,43,39,21,20,0,16,0,15,7,14,4,3,4,0,4,0,3,0,5,2,2,2,1,2,2,1,0,2,4,1,0,0,0
8,24,35,29,28,15,3,12,1,15,3,9,6,1,0,0,4,1,4,1,0,1,1,1,2,2,3,2,1,3,2,0,0,1,0
20,25,37,30,23,14,1,19,0,11,4,8,3,3,2,0,2,0,3,2,2,2,1,0,1,1,1,0,1,3,0,0,0,1,0
17,29,28,28,27,24,0,14,3,10,2,6,1,1,1,0,3,0,6,3,2,0,7,1,6,1,1,2,1,2,4,1,1,0,0
13,34,41,51,21,18,2,12,4,12,2,11,0,2,2,0,4,0,9,2,3,2,1,1,0,0,2,3,0,7,3,4,2,1,0
17,36,34,43,17,17,4,9,3,14,4,8,2,4,5,0,2,0,6,1,5,1,3,1,0,0,1,2,1,5,3,2,3,1,0
23,28,26,24,23,20,2,18,3,8,5,5,2,1,4,0,2,1,4,3,5,2,7,2,1,0,0,1,0,3,2,1,2,0,0
